Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All-Star
47,Goga Bitadze,C,21,IND,45,3,12.5,1.8,4.3,0.428,0.4,1.8,0.253,1.4,2.6,0.548,0.479,1.0,1.4,0.738,1.3,2.0,3.3,0.8,0.2,1.3,0.4,2.1,5.1,16.3,0.523,0.407,0.314,11.7,17.3,14.5,8.9,0.8,8.7,7.1,18.1,0.7,0.8,1.5,0.129,-1.9,0.8,-1.2,0.1,false
48,Bismack Biyombo,C,28,CHO,66,36,20.4,2.2,3.7,0.587,0.0,0.0,0.0,2.2,3.7,0.589,0.587,0.7,1.6,0.448,2.1,3.2,5.3,1.2,0.3,1.1,1.1,2.1,5.0,11.7,0.574,0.004,0.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,0.9,1.4,2.3,0.081,-3.2,-0.1,-3.3,-0.5,false
49,Nemanja Bjelica,PF,32,TOT,37,3,16.1,2.4,5.3,0.454,0.7,2.3,0.318,1.7,3.0,0.559,0.523,1.0,1.4,0.725,0.8,2.6,3.4,1.9,0.4,0.1,0.9,1.8,6.5,12.9,0.554,0.434,0.26,5.4,18.5,11.9,16.2,1.2,0.8,13.1,18.4,0.5,0.3,0.9,0.071,-1.4,-1.1,-2.5,-0.1,false
50,Eric Bledsoe,SG,31,NOP,71,70,29.7,4.3,10.3,0.421,1.7,5.0,0.341,2.6,5.3,0.496,0.503,1.9,2.7,0.687,0.4,3.0,3.4,3.8,0.8,0.3,1.6,1.6,12.2,11.5,0.533,0.486,0.267,1.5,11.1,6.3,17.3,1.2,1.1,12.3,18.5,1.1,1.3,2.3,0.053,-1.1,-1.3,-2.3,-0.2,false
51,Keljin Blevins,SF,25,POR,17,0,4.4,0.3,1.2,0.25,0.1,0.5,0.25,0.2,0.7,0.25,0.3,0.0,0.0,,0.2,0.4,0.6,0.2,0.1,0.0,0.3,0.5,0.7,-0.9,0.3,0.4,0.0,4.2,10.3,7.1,6.7,1.3,0.0,20.0,14.3,-0.2,0.0,-0.2,-0.137,-9.0,-3.0,-12.0,-0.2,false
52,Bogdan Bogdanović,SG,28,ATL,44,27,29.7,6.1,12.8,0.473,3.3,7.6,0.438,2.8,5.3,0.522,0.602,0.9,1.0,0.909,0.5,3.2,3.6,3.3,1.1,0.3,1.2,2.3,16.4,17.6,0.616,0.589,0.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,2.8,1.1,3.9,0.142,3.4,0.4,3.8,1.9,false
53,Bojan Bogdanović,SF,31,UTA,72,72,30.8,5.6,12.8,0.439,2.5,6.4,0.39,3.1,6.4,0.487,0.536,3.2,3.7,0.879,0.6,3.3,3.9,1.9,0.6,0.1,1.8,1.6,17.0,14.0,0.588,0.498,0.286,2.0,11.1,6.7,9.1,1.0,0.1,10.9,22.8,2.7,2.5,5.2,0.113,0.1,-0.9,-0.8,0.7,false
54,Bol Bol,PF,21,DEN,32,2,5.0,0.8,1.8,0.431,0.3,0.8,0.375,0.5,1.1,0.471,0.509,0.3,0.5,0.667,0.0,0.8,0.8,0.2,0.1,0.3,0.4,0.4,2.2,9.4,0.534,0.414,0.259,0.0,16.9,8.5,6.0,0.9,6.1,16.8,21.2,-0.2,0.2,0.0,-0.004,-3.6,-0.7,-4.4,-0.1,false
55,Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,0.333,0.0,0.0,,0.2,0.5,0.333,0.333,0.8,1.3,0.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2,13.3,0.537,0.0,2.667,11.3,11.9,11.6,0.0,3.4,6.1,23.5,12.8,0.0,0.0,0.0,0.063,-3.4,0.6,-2.8,0.0,false
56,Jordan Bone,PG,23,ORL,14,0,14.0,1.6,3.9,0.426,0.7,2.3,0.313,0.9,1.6,0.591,0.519,0.0,0.0,,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0,8.9,0.519,0.593,0.0,2.0,11.0,6.4,13.6,0.5,0.0,5.3,12.6,0.1,0.1,0.2,0.045,-2.6,-1.6,-4.2,-0.1,false
57,Isaac Bonga,SF,21,WAS,40,8,10.8,0.8,2.0,0.37,0.3,1.2,0.277,0.4,0.9,0.5,0.451,0.1,0.2,0.625,0.5,1.2,1.7,0.6,0.3,0.2,0.6,1.6,2.0,4.0,0.461,0.58,0.099,4.4,11.7,8.1,6.5,1.2,1.7,20.7,10.2,-0.4,0.4,0.0,-0.001,-5.6,-0.8,-6.4,-0.5,false
58,Devin Booker,SG,24,PHO,67,67,33.9,9.3,19.2,0.484,1.9,5.5,0.34,7.4,13.7,0.543,0.533,5.1,5.9,0.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,25.6,19.2,0.587,0.288,0.305,1.7,12.1,7.0,20.6,1.2,0.6,12.4,32.7,2.9,2.0,4.9,0.104,1.4,-1.5,-0.1,1.1,true
59,Chris Boucher,C,28,TOR,60,14,24.2,4.8,9.3,0.514,1.5,3.9,0.383,3.3,5.4,0.609,0.595,2.5,3.2,0.788,2.0,4.8,6.7,1.1,0.6,1.9,0.8,2.8,13.6,21.9,0.634,0.42,0.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,4.0,2.1,6.1,0.201,2.8,0.1,2.9,1.8,false
60,Brian Bowen,SF,22,IND,6,0,2.5,0.2,0.7,0.25,0.0,0.2,0.0,0.2,0.5,0.333,0.25,0.2,0.2,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.5,1.0,0.338,0.25,0.25,0.0,21.6,10.8,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,-0.063,-8.2,-3.3,-11.5,0.0,false
61,Avery Bradley,SG,30,TOT,27,6,22.3,2.4,6.3,0.374,1.2,3.7,0.327,1.1,2.6,0.443,0.471,0.4,0.6,0.8,0.3,1.8,2.1,1.7,0.8,0.1,1.0,2.0,6.4,6.3,0.487,0.591,0.088,1.4,9.1,5.2,10.8,1.7,0.5,13.6,14.9,-0.5,0.4,-0.1,-0.008,-4.9,-0.8,-5.7,-0.6,false
62,Tony Bradley,C,23,TOT,42,8,16.3,3.1,4.7,0.665,0.0,0.1,0.0,3.1,4.6,0.675,0.665,0.9,1.3,0.691,2.0,3.7,5.7,0.9,0.4,0.7,0.8,1.5,7.1,20.7,0.678,0.015,0.279,13.3,24.0,18.6,8.5,1.0,3.9,13.0,15.8,1.8,1.0,2.7,0.192,1.1,0.1,1.2,0.6,false
63,Jarrell Brantley,PF,24,UTA,28,0,4.9,0.9,1.9,0.481,0.4,1.0,0.429,0.5,0.9,0.542,0.596,0.1,0.1,1.0,0.3,0.6,1.0,0.5,0.3,0.1,0.3,0.6,2.3,16.6,0.605,0.538,0.038,7.2,13.3,10.4,16.1,2.5,1.2,13.1,19.0,0.3,0.2,0.5,0.172,0.5,1.6,2.1,0.1,false
64,Ignas Brazdeikis,SF,22,TOT,13,0,19.2,2.7,6.4,0.422,0.8,2.2,0.393,1.8,4.2,0.436,0.488,0.8,1.1,0.714,0.8,2.6,3.5,1.3,0.3,0.2,0.9,1.7,7.0,9.5,0.51,0.337,0.169,4.5,14.7,9.4,10.5,0.8,1.1,11.9,17.6,-0.1,0.1,0.1,0.016,-3.9,-1.8,-5.7,-0.2,false
65,Mikal Bridges,SF,24,PHO,72,72,32.6,5.0,9.3,0.543,1.9,4.4,0.425,3.2,4.9,0.647,0.643,1.5,1.8,0.84,1.1,3.2,4.3,2.1,1.1,0.9,0.8,1.6,13.5,16.4,0.667,0.471,0.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8.0,0.164,2.2,0.8,3.0,3.0,false
66,Miles Bridges,PF,22,CHO,66,19,29.3,4.7,9.4,0.503,1.8,4.4,0.4,3.0,5.0,0.593,0.596,1.5,1.7,0.867,1.2,4.8,6.0,2.2,0.7,0.8,1.6,2.2,12.7,14.7,0.625,0.466,0.182,4.5,18.0,11.1,11.4,1.1,2.7,13.6,17.3,2.4,1.9,4.2,0.105,0.2,0.0,0.2,1.0,false
67,Amida Brimah,C,26,IND,5,0,5.8,1.0,1.6,0.625,0.0,0.0,,1.0,1.6,0.625,0.625,0.6,0.6,1.0,0.4,1.2,1.6,0.2,0.0,1.0,0.8,0.8,2.6,16.6,0.697,0.0,0.375,7.5,22.3,15.0,4.8,0.0,14.0,30.0,19.6,0.0,0.1,0.0,0.073,-5.5,1.5,-4.0,0.0,false
68,Oshae Brissett,SF,22,IND,21,16,24.7,3.5,7.2,0.483,1.6,3.7,0.423,1.9,3.5,0.548,0.593,2.4,3.1,0.769,1.4,4.1,5.5,0.9,0.9,1.0,0.5,1.5,10.9,17.2,0.638,0.517,0.43,6.1,17.9,12.0,4.6,1.7,3.1,5.3,15.6,1.2,0.6,1.8,0.165,0.9,-0.6,0.4,0.3,false
69,Malcolm Brogdon,PG,28,IND,56,56,34.5,7.9,17.5,0.453,2.6,6.7,0.388,5.3,10.8,0.493,0.527,2.7,3.2,0.864,1.0,4.2,5.3,5.9,0.9,0.3,2.1,2.0,21.2,17.9,0.561,0.382,0.181,3.3,13.2,8.3,25.7,1.2,0.6,9.8,25.9,2.9,1.3,4.2,0.105,2.9,-1.4,1.5,1.7,false
70,Armoni Brooks,SG,22,HOU,20,5,26.0,3.9,9.6,0.406,3.0,7.9,0.382,0.9,1.8,0.514,0.563,0.4,0.6,0.583,0.5,2.9,3.4,1.5,0.6,0.3,1.1,1.7,11.2,10.4,0.565,0.818,0.063,2.0,12.4,7.0,8.7,1.1,0.9,10.0,17.9,0.1,0.2,0.3,0.03,-1.3,-2.0,-3.3,-0.2,false
71,Dillon Brooks,SF,25,MEM,67,67,29.8,6.4,15.4,0.419,1.9,5.6,0.344,4.5,9.8,0.461,0.481,2.4,2.9,0.815,0.8,2.1,2.9,2.3,1.2,0.4,1.8,3.5,17.2,12.1,0.515,0.361,0.189,2.8,7.7,5.2,11.7,1.9,1.2,9.6,26.1,-0.5,1.8,1.4,0.033,-2.6,-1.3,-3.9,-1.0,false
72,Bruce Brown,PG,24,BRK,65,37,22.3,3.6,6.5,0.556,0.3,0.9,0.288,3.4,5.6,0.599,0.576,1.3,1.8,0.735,1.7,3.7,5.4,1.6,0.9,0.4,0.8,2.2,8.8,16.1,0.604,0.139,0.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,2.8,1.5,4.4,0.144,-0.4,0.1,-0.3,0.6,false
73,Charlie Brown,SG,23,OKC,9,1,16.9,1.4,4.8,0.302,0.6,2.3,0.238,0.9,2.4,0.364,0.36,1.0,1.1,0.9,0.3,1.6,1.9,1.0,0.4,0.2,0.7,2.1,4.4,4.1,0.422,0.488,0.233,2.0,9.7,5.8,8.2,1.3,1.2,11.2,14.9,-0.2,0.1,-0.1,-0.032,-7.8,-1.2,-8.9,-0.3,false
74,Jaylen Brown,SG,24,BOS,58,58,34.5,9.3,19.2,0.484,2.8,7.1,0.397,6.5,12.1,0.536,0.558,3.3,4.3,0.764,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,24.7,19.9,0.586,0.37,0.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,2.8,2.0,4.8,0.115,3.5,-1.0,2.5,2.3,true
75,Moses Brown,C,21,OKC,43,32,21.4,3.4,6.2,0.545,0.0,0.0,,3.4,6.2,0.545,0.545,1.8,2.9,0.619,3.6,5.3,8.9,0.2,0.7,1.1,1.0,2.2,8.6,18.8,0.572,0.0,0.47,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,1.3,1.3,2.6,0.138,-1.2,-1.4,-2.6,-0.1,false
76,Sterling Brown,SG,25,HOU,51,14,24.1,2.9,6.6,0.448,1.8,4.2,0.423,1.2,2.4,0.492,0.584,0.5,0.6,0.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2,11.1,0.597,0.642,0.093,3.2,16.8,9.7,8.4,1.5,0.9,10.5,13.5,1.0,0.8,1.8,0.071,-1.7,0.0,-1.7,0.1,false
77,Troy Brown Jr.,SF,21,TOT,34,0,15.4,1.8,4.2,0.431,0.6,2.1,0.314,1.2,2.2,0.541,0.507,0.4,0.6,0.714,0.6,2.5,3.1,0.9,0.3,0.2,0.6,1.4,4.7,8.5,0.525,0.486,0.146,4.2,17.4,10.8,7.2,0.9,1.0,12.1,14.0,0.0,0.5,0.5,0.043,-3.3,-1.0,-4.3,-0.3,false
78,Jalen Brunson,PG,24,DAL,68,12,25.0,4.8,9.2,0.523,1.2,2.9,0.405,3.6,6.3,0.578,0.588,1.8,2.2,0.795,0.4,3.0,3.4,3.5,0.5,0.0,1.2,1.6,12.6,17.1,0.618,0.319,0.241,1.8,13.1,7.5,21.3,1.0,0.1,10.3,20.2,3.9,1.1,5.1,0.143,1.4,-0.9,0.5,1.1,false
79,Elijah Bryant,SG,25,MIL,1,0,32.0,6.0,13.0,0.462,1.0,5.0,0.2,5.0,8.0,0.625,0.5,3.0,3.0,1.0,2.0,4.0,6.0,3.0,0.0,1.0,4.0,4.0,16.0,10.6,0.559,0.385,0.231,6.8,12.7,9.9,12.6,0.0,2.8,21.8,24.0,0.0,0.0,0.0,0.008,-4.1,-3.6,-7.7,0.0,false
80,Thomas Bryant,C,23,WAS,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5.0,7.0,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3,18.7,0.704,0.231,0.264,7.1,16.8,11.9,8.2,0.7,2.5,9.8,17.2,0.7,0.2,1.0,0.171,2.1,-1.7,0.4,0.2,false
81,Reggie Bullock,SF,29,NYK,65,64,30.0,3.8,8.6,0.442,2.5,6.1,0.41,1.3,2.5,0.521,0.587,0.8,0.8,0.909,0.2,3.2,3.4,1.5,0.8,0.2,0.7,2.2,10.9,11.1,0.606,0.709,0.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,2.3,2.3,4.6,0.114,-0.8,0.6,-0.1,0.9,false
82,Trey Burke,PG,28,DAL,62,1,14.7,2.4,5.7,0.428,0.9,2.6,0.354,1.5,3.0,0.492,0.51,0.8,0.9,0.895,0.2,0.7,0.9,1.3,0.6,0.1,0.5,1.0,6.6,12.6,0.544,0.465,0.161,1.2,5.3,3.3,12.9,1.9,0.7,8.0,20.0,0.7,0.7,1.4,0.071,-1.3,-0.7,-2.0,0.0,false
83,Alec Burks,SG,29,NYK,49,5,25.6,4.3,10.2,0.42,2.1,5.0,0.415,2.2,5.2,0.425,0.522,2.1,2.4,0.856,0.4,4.2,4.6,2.2,0.6,0.3,1.0,2.1,12.7,14.8,0.564,0.492,0.236,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,1.5,1.8,3.3,0.126,0.6,0.3,0.9,0.9,false
84,Jimmy Butler,SF,31,MIA,52,52,33.6,7.0,14.2,0.497,0.5,2.0,0.245,6.6,12.2,0.538,0.514,6.9,8.0,0.863,1.8,5.1,6.9,7.1,2.1,0.3,2.1,1.4,21.5,26.5,0.607,0.139,0.565,6.3,17.1,11.8,35.1,3.1,1.1,10.6,26.6,6.6,2.7,9.3,0.255,5.1,2.5,7.5,4.2,false
85,Bruno Caboclo,PF,25,HOU,6,0,6.0,1.3,2.8,0.471,0.0,0.8,0.0,1.3,2.0,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8,9.0,0.475,0.294,0.118,8.5,34.0,20.7,4.7,0.0,5.0,18.3,25.8,-0.1,0.0,-0.1,-0.088,-8.5,-2.1,-10.6,-0.1,false
86,Devontae Cacok,PF,24,LAL,20,1,4.9,0.9,1.5,0.586,0.0,0.0,,0.9,1.5,0.586,0.586,0.3,0.6,0.455,0.6,1.0,1.6,0.1,0.3,0.2,0.3,0.4,2.0,17.2,0.576,0.0,0.379,13.8,22.8,18.4,1.5,2.5,3.7,12.9,17.2,0.1,0.2,0.3,0.142,-1.3,0.6,-0.7,0.0,false
87,Kentavious Caldwell-Pope,SG,27,LAL,67,67,28.4,3.3,7.6,0.431,1.8,4.4,0.41,1.5,3.2,0.46,0.549,1.4,1.7,0.866,0.4,2.3,2.7,1.9,0.9,0.4,1.0,1.7,9.7,10.7,0.588,0.579,0.221,1.6,8.9,5.3,9.2,1.6,1.2,10.6,14.2,1.6,2.6,4.2,0.107,-1.5,0.6,-0.9,0.6,false
88,Facundo Campazzo,PG,29,DEN,65,19,21.9,1.8,4.8,0.381,1.2,3.3,0.352,0.7,1.5,0.444,0.502,1.2,1.4,0.879,0.3,1.7,2.1,3.6,1.2,0.2,1.1,2.0,6.1,11.6,0.558,0.686,0.289,1.8,8.9,5.3,20.2,2.7,1.0,17.1,13.1,1.6,1.5,3.1,0.105,-1.7,1.0,-0.8,0.5,false
89,Vlatko Čančar,PF,23,DEN,41,1,6.9,0.8,1.8,0.458,0.2,0.8,0.273,0.6,1.0,0.615,0.521,0.2,0.3,0.769,0.3,1.0,1.2,0.3,0.3,0.0,0.3,0.4,2.1,9.7,0.547,0.458,0.181,4.5,15.7,10.1,6.4,1.9,0.7,15.3,14.2,0.0,0.3,0.3,0.053,-2.6,-0.1,-2.7,0.0,false
90,Devin Cannady,PG,24,ORL,8,0,9.3,1.4,3.5,0.393,0.8,2.0,0.375,0.6,1.5,0.417,0.5,0.8,0.9,0.857,0.0,0.6,0.6,0.1,0.6,0.1,0.3,1.1,4.3,11.2,0.547,0.571,0.25,0.0,7.3,3.5,2.1,3.3,1.2,6.0,19.3,0.0,0.1,0.1,0.057,-4.4,1.3,-3.1,0.0,false
91,Clint Capela,C,26,ATL,63,63,30.1,6.6,11.0,0.594,0.0,0.0,,6.6,11.0,0.594,0.594,2.1,3.6,0.573,4.7,9.6,14.3,0.8,0.7,2.0,1.2,2.3,15.2,24.3,0.601,0.0,0.327,17.5,34.3,26.1,4.1,1.1,6.0,8.4,19.9,4.9,3.3,8.2,0.207,2.7,-0.2,2.5,2.1,false
92,Vernon Carey Jr.,C,19,CHO,19,4,6.1,0.9,1.9,0.5,0.1,0.4,0.143,0.9,1.5,0.586,0.514,0.5,0.6,0.818,0.3,1.1,1.4,0.1,0.1,0.3,0.3,0.7,2.4,11.7,0.563,0.194,0.306,5.6,20.1,12.7,2.6,0.4,4.3,10.9,17.2,0.0,0.1,0.2,0.066,-4.4,-1.8,-6.2,-0.1,false
93,Jevon Carter,PG,25,PHO,60,1,12.0,1.6,3.7,0.422,0.9,2.5,0.371,0.6,1.2,0.528,0.547,0.1,0.1,0.571,0.3,1.3,1.5,1.2,0.5,0.2,0.3,0.9,4.1,12.2,0.548,0.677,0.031,2.6,11.8,7.3,13.0,2.0,1.1,6.6,15.0,0.7,0.8,1.6,0.104,-0.6,1.1,0.5,0.5,false
94,Wendell Carter Jr.,C,21,TOT,54,44,25.5,4.3,8.5,0.503,0.3,0.9,0.294,4.0,7.5,0.53,0.52,2.4,3.3,0.732,2.4,5.8,8.2,1.9,0.6,0.8,1.4,2.7,11.2,16.7,0.566,0.112,0.392,10.2,24.6,17.4,11.2,1.2,2.7,12.7,19.3,1.7,1.7,3.4,0.118,-1.0,-0.5,-1.5,0.1,false
95,Michael Carter-Williams,SG,29,ORL,31,25,25.8,3.4,8.7,0.389,0.5,2.0,0.246,2.9,6.7,0.431,0.417,1.6,2.6,0.613,1.3,3.2,4.5,4.2,0.8,0.5,2.2,2.6,8.8,9.5,0.449,0.226,0.296,4.9,13.4,9.0,24.3,1.5,1.9,18.4,20.2,-1.1,0.6,-0.5,-0.028,-4.5,-0.1,-4.6,-0.5,false
96,Alex Caruso,PG,26,LAL,58,6,21.0,2.3,5.3,0.436,0.9,2.4,0.401,1.3,2.9,0.464,0.526,0.8,1.3,0.645,0.5,2.4,2.9,2.8,1.1,0.3,1.3,1.9,6.4,11.1,0.547,0.449,0.249,2.9,12.8,7.9,18.1,2.6,1.1,18.3,14.8,0.3,2.1,2.4,0.095,-2.5,2.3,-0.2,0.6,false
97,Willie Cauley-Stein,C,27,DAL,53,16,17.1,2.2,3.4,0.632,0.0,0.2,0.091,2.2,3.2,0.667,0.635,0.9,1.5,0.628,1.2,3.2,4.5,0.7,0.4,0.8,0.5,2.4,5.3,14.3,0.647,0.06,0.429,8.1,20.5,14.3,5.3,1.1,4.4,11.8,12.0,1.6,1.2,2.8,0.147,-2.2,0.6,-1.6,0.1,false
98,Chris Chiozza,PG,25,BRK,22,1,10.5,1.4,4.0,0.352,0.6,1.9,0.31,0.8,2.1,0.391,0.426,0.6,0.8,0.765,0.1,1.0,1.1,3.0,0.3,0.3,0.7,0.9,4.0,12.9,0.461,0.477,0.193,1.5,9.5,5.7,36.9,1.5,2.3,14.4,21.0,0.1,0.2,0.3,0.063,-0.7,-0.9,-1.6,0.0,false
99,Marquese Chriss,PF,23,GSW,2,0,13.5,2.5,7.0,0.357,0.5,2.5,0.2,2.0,4.5,0.444,0.393,1.0,2.0,0.5,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,6.5,11.8,0.412,0.357,0.286,12.0,38.9,25.6,11.0,0.0,6.5,11.3,28.1,-0.1,0.1,0.0,-0.03,-2.2,-1.0,-3.2,0.0,false
100,Gary Clark,SF-PF,26,TOT,39,11,16.8,1.0,3.4,0.303,0.8,2.8,0.287,0.2,0.6,0.375,0.42,0.2,0.3,0.8,0.8,2.1,2.9,0.8,0.3,0.2,0.4,0.9,3.1,6.0,0.436,0.818,0.076,5.1,13.5,9.1,6.4,1.0,1.0,11.1,10.1,-0.3,0.4,0.1,0.008,-4.0,-0.9,-4.9,-0.5,false
101,Brandon Clarke,PF,24,MEM,59,16,24.0,4.3,8.4,0.517,0.3,1.3,0.26,4.0,7.1,0.565,0.537,1.3,1.9,0.69,1.6,3.9,5.6,1.6,1.0,0.9,0.6,1.4,10.3,17.3,0.56,0.156,0.228,7.2,17.5,12.3,9.5,2.0,3.2,5.7,17.2,2.2,2.0,4.2,0.142,0.3,1.0,1.3,1.2,false
102,Jordan Clarkson,SG,28,UTA,68,1,26.7,6.7,15.8,0.425,3.1,8.8,0.347,3.7,7.0,0.523,0.522,1.9,2.1,0.896,0.7,3.3,4.0,2.5,0.9,0.1,1.7,1.6,18.4,17.1,0.549,0.557,0.134,2.9,12.7,8.0,15.3,1.6,0.4,9.2,29.7,1.7,2.5,4.2,0.111,1.9,-0.8,1.1,1.4,false
103,Nicolas Claxton,C,21,BRK,32,1,18.6,2.8,4.5,0.621,0.0,0.2,0.2,2.8,4.4,0.636,0.624,1.0,2.0,0.484,1.3,3.8,5.2,0.9,0.7,1.3,0.6,2.1,6.6,16.9,0.612,0.034,0.441,8.4,21.8,15.4,6.4,1.9,5.9,9.4,14.0,1.0,0.9,1.9,0.153,-0.8,1.1,0.3,0.3,false
104,Amir Coffey,SG,23,LAC,44,1,9.0,1.0,2.3,0.437,0.5,1.3,0.411,0.5,1.1,0.468,0.549,0.6,0.9,0.711,0.2,0.8,1.0,0.5,0.2,0.0,0.3,0.7,3.2,10.1,0.585,0.544,0.369,2.9,9.4,6.3,7.4,1.3,0.0,11.1,15.1,0.4,0.3,0.7,0.085,-2.1,-0.5,-2.6,-0.1,false
105,John Collins,PF,23,ATL,63,63,29.3,6.8,12.2,0.556,1.3,3.3,0.399,5.5,8.9,0.615,0.61,2.7,3.2,0.833,1.9,5.5,7.4,1.2,0.5,1.0,1.3,3.1,17.6,20.6,0.645,0.27,0.265,7.1,20.3,13.8,6.9,0.9,3.0,8.9,22.2,4.8,1.9,6.7,0.174,2.5,-0.4,2.1,1.9,false
106,Mike Conley,PG,33,UTA,51,51,29.4,5.6,12.5,0.444,2.7,6.6,0.412,2.9,6.0,0.479,0.552,2.4,2.8,0.852,0.7,2.8,3.5,6.0,1.4,0.2,1.9,1.9,16.2,19.2,0.589,0.523,0.222,2.7,9.6,6.3,30.6,2.3,0.5,12.4,23.1,4.0,2.1,6.1,0.197,3.5,0.9,4.4,2.4,true
107,Pat Connaughton,SG,28,MIL,69,4,22.8,2.4,5.6,0.434,1.5,3.9,0.371,1.0,1.7,0.583,0.565,0.4,0.6,0.775,0.9,3.9,4.8,1.2,0.7,0.3,0.5,1.4,6.8,11.3,0.578,0.703,0.103,4.4,17.3,11.1,6.3,1.5,1.3,7.5,11.6,1.8,1.7,3.5,0.108,-0.4,0.1,-0.4,0.6,false
108,Quinn Cook,PG,27,TOT,23,0,6.8,1.3,3.0,0.426,0.5,1.1,0.423,0.8,1.8,0.429,0.507,0.3,0.3,0.875,0.1,0.7,0.7,0.8,0.2,0.0,0.3,0.4,3.3,12.7,0.531,0.382,0.118,1.4,10.9,6.1,18.3,1.3,0.6,8.9,21.8,0.1,0.1,0.2,0.061,-1.2,-0.4,-1.5,0.0,false
109,Tyler Cook,SF-PF,23,TOT,32,1,13.7,2.2,3.2,0.67,0.0,0.1,0.5,2.1,3.2,0.673,0.675,0.5,1.1,0.486,0.9,2.1,3.0,0.5,0.3,0.1,0.7,1.1,4.9,12.8,0.659,0.019,0.34,7.0,17.2,12.1,5.9,0.9,0.4,15.1,13.9,0.5,0.3,0.8,0.09,-2.5,-0.5,-3.0,-0.1,false
110,DeMarcus Cousins,C,30,TOT,41,11,17.4,3.2,7.4,0.426,1.1,3.3,0.348,2.0,4.1,0.488,0.503,1.4,2.0,0.728,1.3,5.1,6.4,1.9,0.8,0.6,1.6,2.6,8.9,16.4,0.537,0.443,0.266,8.0,32.7,20.0,16.3,2.3,3.0,15.8,24.5,0.0,1.2,1.2,0.079,-1.2,1.9,0.7,0.5,false
111,Robert Covington,PF,30,POR,70,70,32.0,2.9,7.3,0.401,1.9,5.1,0.379,1.0,2.2,0.451,0.533,0.7,0.9,0.806,0.9,5.8,6.7,1.7,1.4,1.2,0.9,2.8,8.5,11.2,0.553,0.699,0.122,2.8,19.8,11.1,6.8,2.2,3.4,10.7,11.5,1.4,2.4,3.7,0.08,-1.5,1.2,-0.3,1.0,false
112,Torrey Craig,SF,30,TOT,50,8,16.1,2.2,4.5,0.48,0.8,2.1,0.368,1.4,2.4,0.579,0.566,0.3,0.4,0.773,1.1,2.8,3.9,1.0,0.6,0.5,0.5,1.7,5.5,14.2,0.579,0.467,0.097,8.1,19.1,13.7,7.9,1.7,2.9,9.6,14.3,1.1,1.1,2.2,0.133,-0.3,0.7,0.3,0.5,false
113,Jae Crowder,PF,30,PHO,60,42,27.5,3.3,8.2,0.404,2.5,6.3,0.389,0.9,1.9,0.455,0.555,1.0,1.3,0.76,0.5,4.2,4.7,2.1,0.8,0.5,0.9,2.1,10.1,11.8,0.574,0.772,0.152,2.2,16.9,9.7,10.0,1.4,1.5,9.5,15.7,1.4,1.9,3.3,0.097,0.1,0.7,0.8,1.2,false
114,Jarrett Culver,SG,21,MIN,34,7,14.7,2.0,4.9,0.411,0.4,1.6,0.245,1.6,3.4,0.487,0.449,0.9,1.4,0.604,1.0,2.1,3.1,0.7,0.5,0.3,0.8,1.7,5.3,8.8,0.476,0.315,0.286,7.1,15.8,11.3,6.8,1.6,1.6,12.9,18.2,-0.4,0.3,-0.1,-0.006,-4.8,-1.8,-6.6,-0.6,false
